"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","0.01µ","","","","Capacitor_SMD:C_0201_0603Metric",""
"C2","1","100µ","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1","1","MBRS340","","","","Diode_SMD:ST_D_SMC",""
"J1","1","Conn_01x02_Pin","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"L1","1","3.3µ","","","","Inductor_SMD:L_1210_3225Metric",""
"R1","1","86.6k","","","","Resistor_SMD:R_0805_2012Metric",""
"R2","1","10k","","","","Resistor_SMD:R_0805_2012Metric",""
"R3","1","20K","","","","Resistor_SMD:R_0201_0603Metric",""
"R4","1","240","","","","Resistor_SMD:R_0805_2012Metric",""
"TP1,TP2,TP3,TP4,TP5,TP6","6","TestPoint","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"U1","1","LT1302","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",""
